English	Spanish	Spanish verb
the cable was attached to the monitor	el cable estaba conectado al monitor	conectar a
the dressmaker attached the sleeves to the dress	la modista sujetó la manga al vestido 	sujetar a
the nanny was attached to the boy	la niñera se encariñó con el niño	encariñar se con
the manager attaches importance to the following point	el director concedió importancia al siguiente punto	conceder a
the parents attended to the baby’s needs	los padres prestaron atención a las necesidades del bebé	prestar atención a
the child attends to his mother with particular devotion	el niño se ocupa de su mamá con especial devoción 	ocupar se de
the teacher attends to the student’s special needs	el profesor atiende a las necesidades especiales del alumno	atender a
the celebrity will auction off the classic car	el famoso subastará el coche clásico	subastar
the judge auctioned off the debtor’s belongings	el juez subastó remató las pertenencias del deudor 	rematar
the price averages out at 6.5 percent	el precio tiene una media de 6,5 por ciento	tener una media de
the criminals backed away when they saw the police	los criminales retrocedieron cuando vieron a la policía	retroceder
the explorer backed away when he saw the fierce animal	el explorador se retiró cuando vio el animal feroz	retirar se
the policeman backed away from the bomb	el policía se alejó de la bomba	alejar se de
the politician backed down immediately	el político reculó enseguida 	recular
the fighter is not going to back down again	el luchador no va a retroceder otra vez	retroceder
politicians often back out of electoral promises	los politicos se retractan de sus promesas electorales a menudo	retractar se de
the UN backed out of the negotiations	la ONU se volvió atrás en las negociaciones	volver se atrás en
the trade union backed out of negotiations the first day	el sindicato se echó atrás en las negociaciones el primer día	echar se atrás en
the employee backed out of the contract the next day	el empleado se desvinculó del contrato al día siguiente	desvincular se  de
the university backed out of the European project 	la universidad se retiró del proyecto europeo	retirar se de
the guest backed out of the event due to illness	el invitado se retiró del evento debido a una enfermedad 	retirar se de
the client backed out of the agreement	el cliente se retractó del acuerdo	retractar se de
the client backed out of the contract	el cliente se arrepintió del contrato	arrepentir se de
the man backed out of the romantic date	el hombre se echó atrás en la cita romántica	echar se atrás en
the scientist backed out of the research project 	el científico se retiró del proyecto de investigación	retirar se de
the company director backed up my sister	el director de la empresa respaldó a mi hermana, el director de la empresa apoyó a mi hermana	respaldar a, apoyar a
the boyfriend backs up the girl every day	el novio respalda a la chica todos los días	respaldar a 
thanks for backing up the idea	gracias por apoyar la idea	apoyar
back up the document please	realiza una copia de seguridad del documento por favor	realizar una copia de seguridad
people back up your idea	la gente respalda tu idea, la gente confirma tu idea, la gente corrobora tu idea	respaldar, confirmar, corroborar
the driver backed up the driveway	el conductor dio marcha atrás en la calzada	dar marcha atrás
the man backed up a little	el hombre retrocedió un poco	retroceder
the friends bailed out of the party	los amigos se retiraron de la fiesta	retirar se de
the girl bailed out at the last minute	la chica se rajó en el último momento	rajar se
the government bailed out the bank	el gobierno rescató el banco	rescatar
friends bailed him out the next day	los amigos le pagaron la fianza al día siguiente	pagar la fianza
the government bailed out the financial sector	el gobierno sacó al sector financiero de un apuro	sacar de un apuro a
the miners bailed the water out of the mines	los mineros achicaron el agua de las minas	achicar de
the company bailed out of the project	la empresa abandonó el proyecto, la empresa dejó el proyecto, la empresa se largó del proyecto	abandonar, dejar, largar se de
thee man bailed out of the project quickly	el hombre acabó con el proyecto pronto	acabar con 
the teacher banks on the student’s help today	la profesora cuenta con la ayuda del estudiante hoy	contar con
the film is based on a true story	la película se basa en una historia real	basar se en
the lecturer is about the faculty tomorrow	el profesor está por la facultad mañana	estar por
the boy is about five minutes from the school	el niño está más o menos a cinco minutos del colegio, el niño está aproximadamente a cinco minutos del colegio, el niño está a unos cinco minutos del colegio	estar más o menos a, estar aproximadamente a, estar a unos 
the boss was about yesterday	el jefe estuvo presente ayer	estar presente
the teacher is about tomorrow	el profesor está cerca mañana	estar cerca
the president was away last week	el presidente estuvo fuera la semana pasada	estar fuera
the people were back yesterday	la gente regresó ayer	regresar
the supervisor was back in the office yesterday	el supervisor volvió al despacho ayer	volver a
ths student went off to school	el estudiante se fue al colegio	ir se a
the results bear on the implementation of the new rules	sus resultados pesan sobre la implementación de las nuevas reglas	pesar sobre
these observations bear out the report's basic idea 	Estas observaciones confirman la idea básica del informe. 	confirmar
these figures bear out the results	Estas cifras corroboran los resultados	corroborar
the statistics do not bear out the first explanation 	las estadísticas no apoyan la primera explicación 	apoyar
a group of young people beat the boy up	un grupo de jóvenes aporreó al chico	aporrear a
the criminals beat the boy up last night	los criminales apalearon al chico anoche	apalear a
the boy beat up another child	el chico golpeó a otro niño	golpear a
the man beat up his wife a lot	el hombre pegó a su mujer mucho	pegar a
what became of your son?	¿Qué pasará pasó con tu hijo?	pasar con
nothing good will become of the boy now	nada bueno será del chico ahora	ser de
the FBI beefed up security at the White House	el FBI fortaleció la seguridad en la Casa Blanca	fortalecer
the girl bent down	la niña se agachó	agachar se 
the girl bent over	la niña se inclinó, la niña se agachó	inclinar se, agachar se 
a boy bent the piece of paper over	un niño dobló el papel	doblar
the man bet on his favourite horse	el hombre apostó por su caballo favorito	apostar por
the boy bit off more than necessary	el niño mordió más de lo necesario	morder
the power failure blacked out the area	el corte de energía oscureció el área 	oscurecer
the victim blacked out after the accident	la víctima se desmayó después del accidente	desmayar se
the gunman blew away a policeman	el pistolero liquidó a un policía, el pistolero mató a un policía	liquidar a, matar a
the candidate blew the interviewer away 	el candidato se metió en el bolsillo a la entrevistadora	meter se en el bolsillo a = blew away?
my papers blew away	mis papeles volaron	volar
the wind blew away the rain	el viento se llevó la lluvia	llevar se
the singer blew the audience away	el cantante deslumbró al público	deslumbrar a
the wind blew down many trees	el viento derrumbó muchos arboles, el viento derribó muchos arboles, el viento tumbó muchos arboles	derrumbar, derribar, tumbar
the wind blew down a tree in the city centre	el viento volteó un árbol en el centro de la ciudad	voltear
the singer’s voice blew the audience away	la voz del cantante dejó a la audiencia sin palabras	dejar sin palabras a
the boy’s secret blew the class away	el secreto del chico dejó a la clase de una pieza	dejar de una pieza a
the celebrity’s attitude blew the public down	la actitud del famoso dejó sin palabras al público	dejar sin palabras a
the man’s secret blew the audience down	el secreto del hombre sorprendió a la audiencia	sorprender a
a landmine blew off the victim’s leg	una mina terrestre voló una pierna de la víctima   	volar de
the dog blew off	el perro se tiró un pedo, el perro se echó un pedo	tirar se un pedo, echar se un pedo
the man blew off his friend’s birthday party	el hombre rechazó el cumpleaños de su amigo	rechazar
the girl blew off the doctors appointment yesterday	la chica faltó a la cita médica ayer	faltar a
the students blows off his homework everyday	el estudiante se escaquea de sus deberes todos los días	escaquear se de
the children blew out the candles	los niños apagaron las velas, los niños soplaron las velas	apagar, soplar 
the blast blew out all the windows	la explosión destrozó las ventanas	destrozar
a strong wind blew out the flames	un fuerte viento apagó las llamas	apagar
he blew out the party for an extra day of holidays	rechazó la fiesta por un día más de vacaciones	rechazar
the man saw the Hindenburg blow up	el hombre vio al Hindenburg volar por los aires	volar
the bomb blew up at night 	la bomba explotó por la noche	explotar
technology blew up the modern modern education system	la tecnología hizo volar el sistema educativo moderno 	hacer volar
the dynamite blew up the building	la dinamita hizo explotar el edificio, la dinamita hizo estallar el edificio, la dinamita destrozó el edificio 	hacer explotar, hacer estallar, destrozar
the terrorist blew up the bomb	la terrorista detonó la bomba	detonar
the exhuasted man finally blew up	el hombre agotado se cabreó finalmente	cabrear se
the teacher blew up	el profesor se calentó	calentar se
the photographer blew up the picture	el fotógrafo agrandó la foto, el fotógrafo amplió la foto	agrandar, ampliar
the parents blew up balloons for the party	los padres inflaron los globos para la fiesta	inflar
the new invention borders on disruptive innovation	la invención nueva limita con la innovación desestabilizadora 	limitar con
various contries border on the Mediterranean sea	varios países lindan con el mar Mediterráneo	lindar con
the man’s ideas borders on stupidity	las ideas del hombre bordean la estupidez	bordear
the man’s behaviour borders on criminal	el comportamiento del hombre roza la delincuencia	rozar
Sincerity at times borders on impertinence 	La sinceridad a veces raya en la impertinencia	rayar en
the ill musician bowed out of the last concert	el músico enfermo se excusó del último concierto	excusar se
the army comptetely bowed out	el ejercito se retiró totalmente	retirar se
the singer bowed out of the competition yesterday	el cantante se retiró de la competición ayer	retirar se de
the island broke away from the landmass	la isla se separó de la masa continental	separar se de
Ireland broke away from the UK in the nineteen-twenties	Irlanda se desvinculó del Reino Unido en los años veinte	desvincular se de
people broke away from commmunism	la gente rompió con el comunismo 	romper con
the machine broke down	la maquina rompió, la maquina se rompió, la máquina se averió, la máquina se estropeó	romper, romper se, averiar se, estropear se
the child broke down	el niño lloró, el niño rompió a llorar	llorar, romper a llorar
the football team broke down at the end	el equipo de fútbol se desmelenó al final	desmelenar se
the digestive enzyme breaks down the protein	la encima digestiva descompone la proteína	descomponer
the car broke down on the motorway	el coche se estropeó en la autopista	estropear se
technology breaks down borders	la tecnología derriba las fronteras	derribar 
lipase breaks down fat molecules	la lipasa descompone las moléculas de grasa  	descomponer
small steps break down complex taks	pequeños pasos desglosan tareas complejas 	desglosar
the scientists break down the experiment’s components	los científicos analizan los pasos del experimento	analizar
the president breaks down the old power structures	el presidente irrumpe en las estructuras de poder antiguas	irrumpir en
the student broke in at the end of the speech	el estudiante interrumpió al final del discurso	interrumpir
the rider broke in the new horse	el jinete domó el caballo nuevo	domar
the girl broke in her new shoes	la chica amoldó sus zapatos nuevos	amoldar
the writer broke in 1990	el escritor murió en 1990	morir en
this debate broke in the last century	este debate irrumpió en el último siglo	irrumpir en
the company will break in a new employee	la empresa formará a un nuevo empleado	formar a
the child broke in the new shoes gradually 	el niño se acostumbró a los zapatos nuevos gradualmente	acostumbrar se a
the thief broke into the house	el ladrón asaltó la casa, el ladrón allanó la casa	asaltar, allanar
the animal broke into a run	el animal se arrancó a correr	arrancar se a
the man broke into the guest’s conversation	el hombre interrumpió la conversación de los huéspedes	interrumpir
the young writer broke into journalism	el joven escritor irrumpió en el periodismo, el joven escritor se metió en el periodismo, el joven escritor se inició en el periodismo	irrumpir en, meter se en, iniciar se en
many countries broke off relations with Israel	muchos países rompieron relaciones con Israel, muchos países terminaron las relaciones con Israel, muchos países suspendieron relaciones con Israel, muchos países pusieron fin a las relaciones con Israel	romper, terminar, suspender, poner fin a
the prisoner broke out of prison	el preso evadió del cárcel, el preso se escapó de la cárcel, el preso se fugó de la cárcel	evadir se de, escapar se de, fugar se
the animals broke out of the zoo	los animales se escaparon del zoo	escapar se de
the Irish rebellion broke out in October	la rebelión irlandesa estalló en octubre	estallar
the country will break out of its recession soon	el país se liberará de su crisis económica pronto	liberar se de
the couple broke up two years later	la pareja rompió dos años después	romper
the surgeon broke up the blot clot	el cirujano se deshizo del coágulo	deshacer se de
nowadays families often break up	las familias se desintegran a menudo hoy en día	desintegrar se
the couple broke up on holidays	la pareja se separó durante las vacaciones	separar se  
the students broke up laughing 	los estudiantes estallaron de risa	estallar de risa
Break up the cake into ten equal slices	Divide la tarta en diez partes iguales	dividir
the war broke the country up	la guerra destruyó el país	destruir
the referee broke up the fight	el árbitro dio fin a la pelea, el árbitro puso fin a la pelea	dar fin a, poner fin a
the girl breathed in deeply	la chica respiró profundamente	respirar
the patient breathed in the bacteria	el paciente inhaló la bacteria	inhalar
the man breathed in through his nose	el hombre aspiró por su nariz	aspirar
the women breathed out her mouth	la mujer exhaló por la boca	exhalar
the new washing powder brightens up the clothes	el detergente nuevo aclara la ropa	aclarar  
the student’s presence brightened up the teacher’s day	la presencia del estudiante mejoró el día del profesor	mejorar
the sky brightened up an hour ago	despejó el cielo hace una hora	despegar
the employees brightened up the office with Christmas decorations	los empleados embellecieron la oficina con adornos navideños 	embellecer
good music brightened up the party	la buena música animó la fiesta	animar 
each emanation brings about a progressive corruption	cada emanación acarrea una progresiva corrupción, cada emanación ocasiona una progresiva corrupción, cada emanación provoca una progresiva corrupción, cada emanación produce una progresiva corrupción, cada emanación proporciona una progresiva corrupción, cada emanación da lugar a una progresiva corrupción	acarrear, ocasionar, provocar, producir, proporcionar, dar lugar a
the girl brought along a friend to the concert	la chica trajo a una amiga al concierto	traer a
the man brought along the dog yesterday	el hombre trajo consigo al perro ayer	traer consigo a
the boy brought back a chocolate bar 	el niño trajo una tableta de chocolate	traer
fashion brings back the same trends every ten years	la moda reintroduce los mismos estilos cada diez años,la moda trae de vuelta los mismos estilos cada diez años, a moda trae de nuevo los mismos estilos cada diez años	reintroducir,  traer de vuelta, traer de nuevo
the food company will bring back the popular sweets	la empresa de alimentos relanzará los caramelos populares	relanzar
that song brings back sad memories	esa canción despierta tristes recuerdos, esa canción evoca recuerdos tristes 	despertar, evocar
friendly fire brought down a plane	fuego amigo derribó un avión, fuego amigo abatió un avión	derribar, abatir 
the clumsy boy brought down the shelf of books	el niño torpe hizo caer la estantería de libros	hacer caer 
the EU brings down corruption	la UE hace desaparecer la corrupción	hacer desaparecer
embarrassing revelations brought down the government	las revelaciones vergonzosas hundieron al gobierno	hundir a
the government brought forward the elections	el gobierno adelantó las elecciones	adelantar
the government brings in new regulations everyday	el gobierno introduce nuevas reglas todos los días	introducir
ambulances bring in sick patients to hospitals	las ambulancias traen a los pacientes enfermos al hospital	traer a
the soldier brought off the dangerous mission	el soldado llevó a cabo la misión peligrosa	llevar a cabo
the woman brought off the surprise party with great success	la mujer llevó a cabo la fiesta sorpresa con éxito	llevar a cabo
the student brought off his goals with aplomb	el estudiante alcanzó sus metas con aplomo, el estudiante logró sus metas con aplomo	alcanzar, lograr
the fatigue of the journey brought on an illness	la fatiga del viaje provocó una enfermedad, la fatiga del viaje causó una enfermedad	provocar, causar
the new policy will bring on controversy	la política nueva suscitará polémica	suscitar
the war will bring on more chaos	la guerra desatará más caos	desatar
the presenter will bring on the first guest now	la presentadora presentará a la primera invitada ahora	presentar a
the teacher brought out the students’ curiousity	El profesor suscitó la curiosidad de los estudiantes 	suscitar
the publisher brought out a new dictionary	el editor sacó un nuevo diccionario, el editor publicó un nuevo diccionario, el editor editó un nuevo diccionario, el editor lanzó un nuevo diccionario	sacar, publicar, editar, lanzar
this light brings out your smile	esta luz resalta tu sonrisa	resaltar
another study brings up a different explanation	otro estudio plantea una explicación diferente	plantear
the single mother brought up three children	la madre soltera crió a tres niños	criar a
parents bring up children with many resources	los padres alimentan a los niños con muchos recursos	alimentar a
the family brought up the adopted child	la familia educó al niño adoptado	educar a
the sick child brought up all the lunch	el niño enfermo devolvió toda la comida	devolver
the sick child brought up all the lunch	el niño enfermo vomitó toda la comida	vomitar
the deputy brushed off the congressional demand	el diputado ignoró la demanda del congreso, el diputado ninguneó la demanda del congreso, el diputado menospreció la demanda del congreso 	ignorar, ningunear, menospreciar
the diplomat brushed up on his French	el diplomático refrescó su francés el año pasado	refrescar
the pilot brushed up on his training	el piloto repasó su formación	repasar
the cat brushed up agained the boy’s leg	el gato rozó la pierna del niño	rozar
the student brushed up on history	el estudiante repasó historia	repasar
the man buckled up in the car	el hombre se abrochó el cinturón en el coche	abrochar se el cinturón
the boy buggered off 	el chico se largó	largar se
the annoying man buggered off	el hombre molesto ahuecó el ala	ahuecar el ala
the developer built on reclaimed land	el constructor construyó sobre tierra reclamada	construir sobre
the man didn’t build on the flood plain	el hombre no construyó en la llanura aluvial	construir en
the music of my country is built on folk tradition	la música de mi país se basa en la tradición popular	basar se en
they built up the wall using bricks made from local stone 	levantaron las paredes con ladrillos de adobe	levantar
the workers built up the outer walls	los obreros erigieron las fachadas	erigir
the researcher built up an interesting theory	el investigador desarrolló una interesante teoría	desarrollar
young people build up opportunities to earn money	la gente joven construye las oportunidades para ganar dinero	construir 
the patient built up his arm strength	el paciente reforzó la fuerza del brazo	reforzar
the music of my country is built upon folk tradition	la música de mi país se basa en la tradición popular	basar se en
the researcher built upon his predecessor’s work	el investigador desarrolló el trabajo de su predecesor	desarrollar
the new rules are built upon existing legislation	las nuevas normas se basan en la legislación vigente	basar se en
the culture is built upon a varied history	construyó la cultura sobre una historia amplia	construir sobre
the researcher bumped into new problems	el investigador se topó con problemas nuevas	topar se con 
the bus bumped into a tree	el autobús chocó contra un árbol, el autobús chocó con un árbol	chocar contra, chocar con
the woman bumped into her friend in the street	la mujer se encontró con su amigo en la calle	encontrar se con
my son bumped into a branch	mi hijo tropezó con una rama	tropezar con
the teacher bumped into the student before class	el profesor se topó con el alumno antes de la clase	topar se con 
the bad boys burned down the hotel	los chicos malos incendiaron el hotel	incendiar
the hotel burned down	el hotel ardió, el hotel se quemó	arder, quemar se
the fire burned down the old cinema	el incendio consumió el cine antiguo	consumir
the fire burned down the old empty warehouses	el incendio derrumbó los almacenes viejos vacíos	derrumbar
the fire burned away all the evidence	el incendio consumió todas las pruebas	consumir
the important letters burned away in the fireplace	Ardieron las cartas importantes en la chimenea	arder
the fire burned away the evidence of the crime	el incendio quemó las pruebas del crimen	quemar
the evidence was all burned away	se incendiaron todas las pruebas 	incendiar se
the fire burned out	el fuego se consumió, el fuego se apagó	consumir se, apagar se
the forest fire burnt out after two days	el incendio forestal se agotó después de dos días	agotar se
the sick boy burned up all weekend	el niño enfermo ardió de fiebre todo el fin de semana	arder de fiebre
the angry man burned up 	el hombre enfadado se puso furioso	poner se furioso
the rude woman butted into the couple’s conversation	la mujer maleducada se entrometió en la conversación de la pareja	entrometer se en
the rude woman butted into the couple’s conversation	la mujer maleducada se metió en la conversación de la pareja	meter se en
Management buttered up the meeting by talking about bonuses before talking about redundancies	La dirección suavizó la reunión hablando de las bonificaciónes antes de hablar de los despedidos	suavizar
the students buttered up the teacher all morning	los estudiantes doraron la píldora a la profesora todo la mañana	dorar la píldora a
many investors buy up large quantities of land	muchos inversores acaparan grandes cantidades de terreno, muchos inversores acopian grandes cantidades de terreno	acaparar, acopiar
the driver called around on the way home	el conductor llamó por ahí de camino a casa	llamar por ahí
the ship will call at the island	el barco hará escala en la isla, el barco parará en la isla	hacer escala en, para en
the commercial vessel called at the port	el buque comercial paró en el puerto, el buque comercial hizo escala en el puerto	parar en, hacer escala en
the boss called back the employee	el jefe devolvió la llamada al empleado	devolver la llamada a
the father called down the girl for bad behaviour	el padre regañó a la niña por comportarse mal	regañar a
all nations call for the prisoner’s release	todas las naciones exigen la liberación del preso	exigir
the manufacturing system calls for flexible workers	el sistema de fabricación requiere trabajadores flexibles	requerir
the forecast calls for clear skies 	la previsión meteorológica pronostica cielos despejados	pronosticar
It's time to call the children in for supper	Es hora de hacer pasar a los niños a cenar	hacer pasar a
the student union calls off the demonstration	el sindicato de estudiantes cancela la manifestación, el sindicato de estudiantes suspende la manifestación	cancelar, suspender
the president calls on the Arab population	el presidente apela a la población árabe	apelar a
the government called on nutritional experts	el gobierno recurrió a expertos en nutrición	recurrir a
the woman called on the family	la mujer visitó a la familia	visitar a
the doctor called on the man	el médico visitó al hombre	visitar a
the man called out loudly	el hombre gritó a todo volumen	gritar
the man called out to the victim	el hombre gritó a la víctima	gritar a
the general called out the soldiers	el general convocó a los soldados	convocar a
the students called out the teacher	los estudiantes desafiaron al profesor	desafiar a
the politician called out the commission	el político retó a la comisión 	retar a
the girl called over the other children	la niña invitó a los otros niños	invitar a
the man called up the organisation	el hombre telefoneó a la organización 	telefonear a
the woman called up the bank	la mujer llamó al banco	llamar a
the company will call up more workers	la empresa reclutará a más trabajadores	reclutar a
the government called upon the voters	el gobierno recurrió a los votantes	recurrir a
the boy calmed down	el niño se calmó	calmar se
the music calmed down the baby	la música calmó el bebé	calmar  
the teacher calmed down the two brothers	el profesor apaciguó a los dos hermanos	apaciguar a
the music calmed down the patient’s nerves	la música sosegó los nervios del paciente	sosegar
the priest cares for their spiritual needs	el cura cuida de sus necesidades espirituales, el cura se ocupa de sus necesidades espirituales	cuidar de, ocupar se de
the man carried along the musical instrument	el hombre trajo el instrumento musical	traer
the woman carried along the boy	la mujer llevó al niño	llevar  a
the thief carried off the diamonds	el ladrón se llevó los diamantes	llevar se 
a man carried off the child	un hombre secuestró al niño	secuestrar a
the young man carried off the jewels	el hombre joven robó las joyas	robar
the man carried off the red hat in style	el hombre se llevó el sombrero rojo	llevar se 
the gymnast carried off the gold medal	el gimnasta logró la medalla de oro	lograr
the programme carries on	el programa prosigue, el programa continúa	proseguir, continuar
classical philosophers carry on this tradition	filósofos clásicos prosiguen esta tradición, filósofos clásicos continúan esta tradición	proseguir, continuar
the students continued on with the homework	los estudiantes continuaron con los deberes	continuar con
a computer programme carried out the same task	un programa de ordenador realizó la misma tarea, un programa de ordenador hizo la misma tarea, un programa de ordenador completó la misma tarea, un programa de ordenador llevó a cabo la misma tarea 	realizar, hacer, completar, llevar a cabo
the employee carried out all the necessary tasks	el empleado cumplió con las tareas necesarias	cumplir con
the man didn´t catch on it	el hombre no lo captó, el hombre no lo pilló, el hombre no lo entendió, el hombre no lo comprendió	captar, pillar, entender, comprender
the woman didn´t catch on	la mujer no entendió, la mujer no comprendió	entender, comprender
the man caught onto the dog	el hombre agarró al perro	agarrar a
the student didn’t catch onto the idea	el estudiante no pescó la idea	pescar
the runner caught up with the other competitors	el corredor alcanzó a los otros competidores                                                                                                                                                                                                                                                                                                                                                   	alcanzar a 
the boss caught up with her emails	la jefa se puso al día con los correos electrónicos	poner se al día con
the company caught up with that modern efficiency	la empresa alcanzó esa eficiencia moderna	alcanzar 
the lack of land caught up with the settlers	la falta de tierra alcanzó a los colonos, la falta de tierra pasó factura a los colonos	alcanzar a, pasar factura a
the police caught up with the criminal	la policía pilló al criminal	pillar a
the police caught up with a Spanish gang	la policía atrapó a una banda española, la policía capturó a una banda española	atrapar a, prender a, capturar a
the woman caught up with her friend	la mujer se reencontró con su amiga	reencontrar se con
this small bar caters to students	este pequeño bar atiende a estudiantes	atender a
distance learning caters to workers	el aprendizaje a distancia beneficia a los trabajadores	beneficiar a
the company catered to the market demand	la empresa abasteció a la demanda del mercado	abastecer a
the hotel catered to the guests’ every demand	el hotel complació a las demandas exigentes de los clientes	complacer a
the tragedy changed into a pathetic melodrama	la tragedia se transformó en un melodrama patético, la tragedia se convirtió en un melodrama patético	transformar se en, convertir se en
the man changed into a suit	el hombre se puso un traje	poner se  
Spain changed over to the euro in 1999	España cambió al euro en 1999	cambiar a
hotels charge for accommodation	los hoteles piden dinero por alojamiento, los hoteles cobran por alojamiento 	pedir dinero por, cobrar por
the journalist chased up the story	la periodista hizo un seguimiento de la historia	hacer un seguimiento
my brother chatted up a bookshop owner	mi hermano cameló a un propietario de una librería	camelar a
those people cheated on the video game	esas personas hicieron trampa en el videojuego	hacer trampa en 
the boy cheated on his brother in the game	el chico hizo trampa a su hermano en el juego, el chico engañó a su hermano en el juego	hacer trampa a, engañar a
the government cheated on its voters	el gobierno engaña a sus electores	engañar a
the hotel guest checked in late last night	el huésped de hotel se registró tarde anoche	registrar se
the police checked into the suspect’s alibi	la policía verificó la coartada del sospechoso	verificar
the security men are checking on each entrance	los hombres de seguridad comprueban cada acceso	comprobar
the passenger will check in the luggage	el pasajero facturará el equipaje	facturar
the employee checked in with the boss yesterday	el empleado se puso en contacto con el jefe ayer, el empleado contactó con el jefe ayer	poner se en contacto con, contactar con 
the guest checked into the hotel two days ago	el huésped se registró en el hotel hace dos días	registrar se
the parents checked on the sick child every hour	los padres controlaron al niño enfermo cada hora	controlar a
the inspector checked on each entrance	el inspector chequeó cada acceso, el inspector comprobó cada acceso, el inspector verificó cada acceso	chequear, comprobar, verificar
the police checked out the suspect’s story	la policía verificó la historia del sospechoso	verificar
the girl checked out a book	la niña sacó un libro	sacar
the agent checked out the plane	el agente verificó el avión, el agente comprobó el avión, el agente revisó el avión	verificar, comprobar, revisar
the detective checked out the scene of the crime	el detective investigó el lugar del crimen	investigar
the buyer checked out the quality of the product	el comprador se fijó en la calidad del producto	fijar se en
the guest checked out at midday	el huésped salió del hotel a mediodía 	salir de
the rockstar checked out after an overdose	la estrella de rock se murió después de una sobredosis, la estrella de rock se fue al otro barrio después de una sobredosis	morir se, ir se al otro barrio
the lawyers checked through the issue in half an hour	los abogados despacharon el asunto en media hora 	despachar
the airport checked through my bags for all three flights	el aeropuerto facturó mis maletas para los tres vuelos	facturar
the spectators are cheering on the competitor	los espectadores alientan al competidor, los espectadores animan al competidor	alentar a, animar a
